pesquisador;id;titulo;url;decisao;motivo
notebooklm;NLM-8;Resolução fixa honorários de peritos em casos de gratuidade da Justiça - Portal CNJ;https://www.cnj.jus.br/resolucao-fixa-honorarios-de-peritos-em-casos-de-gratuidade-da-justica/;descartar;"notícia; mantida a Res. CNJ 232 compilada"
notebooklm;NLM-9;RESOLUÇÃO CFM Nº 2.297/2021;https://sistemas.cfm.org.br/normas/arquivos/resolucoes/BR/2021/2297_2021.pdf;descartar;REVOGADA pela Res. CFM 2.323/2022 (conferido)
notebooklm;NLM-10;Lcp 207 - Planalto;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp207.htm;descartar;LC 207/2024 REVOGADA pela LC 211/2024 (conferido)
notebooklm;NLM-11;Resolução é atualizada | Portal Médico - CFM;https://portal.cfm.org.br/noticias/resolucao-e-atualizada/;descartar;notícia
notebooklm;NLM-12;STF valida concessão do auxílio por incapacidade temporária sem necessidade de perícia médica presencial;https://portal.stf.jus.br/noticias/verNoticiaDetalhe.asp?idConteudo=477205&ori=1;descartar;"notícia; mantido o PDF do Tema 1.300"
notebooklm;NLM-13;RECURSO ESPECIAL Nº 2246096 - MG(2025/0463818-9) EMENTA PROCESSUAL CIVIL E PREVIDENCIÁRIO. APOSENTADORIA POR INVALIDEZ. AUXÍL - Jurisprudênc;https://scon.stj.jus.br/SCON/GetInteiroTeorDoAcordao?num_registro=202504638189&dt_publicacao=30/04/2026;descartar;"acórdão isolado do STJ; bloqueia robô"
notebooklm;NLM-14;2023 — Instituto Nacional do Seguro Social - INSS - Portal Gov.br;https://www.gov.br/inss/pt-br/centrais-de-conteudo/legislacao/portarias-conjuntas/2023;descartar;página-índice de portarias de 2023 (revogadas pela PC 13/2026)
notebooklm;NLM-15;Altera a Portaria de Consolidação GM/MS nº 5, de 28 de setembro de 2017, e atualiza a Lista de Doenças Relacionadas ao Trabalho (LDRT). – Bi;http://bibliotecajuridica.des.sp.gov.br/legislacao/portaria-ms-gm-no-5-674-de-01-11-2024-altera-a-portaria-de-consolidacao-gm-ms-no-5-de-28-de-setembro-de-2017-e-atualiza-a-lista-de-doencas-relacionadas-ao-trabalho-ldrt/;descartar;"cópia de terceiro; mantido DOU"
notebooklm;NLM-16;Manual de Licença por Motivo de Saúde (Empregado Celetista e Estatutários Lei 1.395/2023) – CGGP - CGGP/CPS - Centro Paula Souza;https://cggp.cps.sp.gov.br/manuais/licenca-saude-celetista/;descartar;manual estadual específico (Centro Paula Souza)
notebooklm;NLM-17;Portaria Conjunta nº 12, de 11 de dezembo de 2023 - Polícia Penal;https://www.policiapenal.go.gov.br/atos-normativos/atos-internos/portaria-conjunta-no-12-de-11-de-dezembo-de-2023.html;descartar;ato interno da Polícia Penal de GO
notebooklm;NLM-18;06/11/2025 - Jurisprudência do STJ;https://scon.stj.jus.br/SCON/jurisprudencia/toc.jsp?O=JT&b=ACOR&livre=202003034248.REG.%20E%2006/11/2025.FONT.;descartar;"acórdão isolado do STJ; bloqueia robô"
notebooklm;NLM-19;Instituto Nacional do Seguro Social — INSS - Subsecretaria de Modernização do Atendimento Imediato ao Cidadão - Na Hora;https://www.nahora.df.gov.br/instituto-nacional-do-seguro-social-inss;descartar;página genérica de governo distrital
notebooklm;NLM-20;Relator homologa acordo sobre prazos para análises de benefícios do INSS - STF;https://portal.stf.jus.br/noticias/verNoticiaDetalhe.asp?idConteudo=456875&ori=1;descartar;notícia
notebooklm;NLM-21;Symptom exaggeration and symptom validity testing in persons with medically unexplained neurologic presentations - PMC;https://pmc.ncbi.nlm.nih.gov/articles/PMC5764424/;incluir;selecionada #77
notebooklm;NLM-22;Malingering / Symptom Validity: 7 Proven Assessment Strategies - Psychiatry Experts;https://psychiatryexperts.co.uk/expert-witness-reports/personal-injury/malingering-symptom-validity/;descartar;marketing de perito britânico
notebooklm;NLM-23;CONSELHO NACIONAL DOS DIREITOS DA PESSOA COM DEFICIÊNCIA Edifício Parque Cidade Corporate, SCS Quadra 09, Lote C, Torre A, 8º - Portal Gov.b;https://www.gov.br/participamaisbrasil/blob/baixar/6900;descartar;ata do CONADE de 2019, não é norma
notebooklm;NLM-24;Audiência debate regulamentação de atividades e honorários de peritos - Portal CNJ;https://www.cnj.jus.br/audiencia-debate-regulamentacao-de-atividades-e-honorarios-de-peritos/;descartar;notícia
notebooklm;NLM-25;Documentos — Ministério dos Direitos Humanos e da Cidadania - Portal Gov.br;https://www.gov.br/mdh/pt-br/prevencao-e-combate-a-tortura/documentos;descartar;página-índice
notebooklm;NLM-26;STJ - Jurisprudência do STJ;https://scon.stj.jus.br/SCON/jurisprudencia/toc.jsp?O=JT&b=ACOR&livre=202000640584.REG.%20E%2018/10/2021.FONT.;descartar;acórdão isolado do STJ
notebooklm;NLM-27;STF confirma validade de alta programada do auxílio-doença;https://noticias.stf.jus.br/postsnoticias/stf-confirma-validade-de-alta-programada-do-auxilio-doenca/;descartar;notícia
notebooklm;NLM-28;Tema 1066 - Supremo Tribunal Federal;https://portal.stf.jus.br/jurisprudenciaRepercussao/tema.asp?num=1066;descartar;"página de tema STF não abriu para robô; tema 1066 sem confirmação de relevância"
notebooklm;NLM-29;CONSELHO REGIONAL DE MEDICINA DO RIO GRANDE DO NORTE 1 EMENTA: “É válida a emissão de Atestado Médico realizada por médic - CFM;https://sistemas.cfm.org.br/normas/arquivos/pareceres/RN/2025/3_2025.pdf;descartar;parecer regional (CRM-RN) sobre atestado a familiares
notebooklm;NLM-30;A Review of Approaches to Detecting Malingering in Forensic Contexts and Promising Cognitive Load-Inducing Lie Detection Techniques - PMC;https://pmc.ncbi.nlm.nih.gov/articles/PMC6308182/;incluir;selecionada #78
notebooklm;NLM-31;Full article: Cry for help as a root cause of poor symptom validity: A critical note;https://www.tandfonline.com/doi/full/10.1080/23279095.2022.2040025;descartar;bloqueia robô e é pago (Tandfonline)
notebooklm;NLM-32;Malingering and uncooperativeness in psychiatric and psychological assessment: Prevalence and effects in a German sample of claimants - Gree;https://wordmemorytest.com/DAUBERT/Stevens_2008_WMT_MSVT_VARIANCE_EFFORT.pdf;descartar;site de fornecedor de teste (WMT)
notebooklm;NLM-33;Informe Eletrônico de Legislação em Saúde nº 192 - 17/10/2023 - Secretaria da Saúde - Governo do Estado de São Paulo;http://www.saude.sp.gov.br/ses/legislacao/informe-eletronico-de-legislacao-em-saude/acessar-os-informes-eletronicos/2023/outubro/informe-eletronico-de-legislacao-em-saude-n-192-17102023;descartar;informe secundário da SES-SP
notebooklm;NLM-34;Redução da fila do INSS para concessão de benefício por incapacidade temporária;https://repositorio.enap.gov.br/bitstream/1/9868/5/Grupo%205%20-%20Elogovers_%20Redu%C3%A7%C3%A3o%20da%20fila%20do%20INSS%20para%20concess%C3%A3o%20de%20benef%C3%ADcio%20por%20incapacidade%20tempor%C3%A1ria%201.pdf;descartar;trabalho de curso ENAP
notebooklm;NLM-35;CNJ revê honorários de antropólogos em processos que envolvem indígenas;https://www.cnj.jus.br/cnj-reve-honorarios-de-antropologos-em-processos-que-envolvem-indigenas/;descartar;notícia (antropólogos)
notebooklm;NLM-36;Alteração do cálculo da aposentadoria por doença grave pela Reforma da Previdência é válida, decide STF;https://noticias.stf.jus.br/postsnoticias/alteracao-do-calculo-da-aposentadoria-por-doenca-grave-pela-reforma-da-previdencia-e-valida-decide-stf/;descartar;notícia
notebooklm;NLM-37;CFM lança plataforma para combater atestados médicos falsos;https://portal.cfm.org.br/noticias/atesta-cfm-plataforma-lancada-pelo-cfm-para-combater-atestados-medicos-falsos-passa-a-valer-dia-5-de-novembro/;descartar;notícia
notebooklm;NLM-38;Protocolo Facultativo à Convenção contra a Tortura e outros Tratamentos ou Penas Cruéis, Desumanos ou Degradantes Visita ao;https://www.justica.pr.gov.br/sites/default/arquivos_restritos/files/documento/2019-08/2016relatoriotorturasptpt.pdf;descartar;relatório de 2016 hospedado em site estadual
notebooklm;NLM-39;Sistema Nacional de Prevenção e Combate à Tortura — Ministério dos Direitos Humanos e da Cidadania - Portal Gov.br;https://www.gov.br/mdh/pt-br/prevencao-e-combate-a-tortura/coordenacao;descartar;página institucional
notebooklm;NLM-40;recurso especial nº 1913152 - sp (2020/0341176-2) - Jurisprudência do STJ;https://scon.stj.jus.br/SCON/GetInteiroTeorDoAcordao?num_registro=202003411762&dt_publicacao=06/11/2025;descartar;acórdão isolado do STJ
notebooklm;NLM-41;plp233 - Planalto;http://www.planalto.gov.br/CCIVIL_03/Projetos/Ato_2023_2026/2023/PLP/plp-233.htm;descartar;projeto de lei (não é norma)
notebooklm;NLM-42;SP (2018/0090969-7) RELATOR : MINISTRO FRANCISCO FALCÃO AGRAVANTE - Jurisprudência do STJ;https://scon.stj.jus.br/SCON/GetInteiroTeorDoAcordao?num_registro=201800909697&dt_publicacao=17/11/2020;descartar;acórdão isolado do STJ (2020)
notebooklm;NLM-43;Jurisprudência do STJ;https://scon.stj.jus.br/SCON/pesquisar.jsp?b=ACOR&O=RR&preConsultaPP=6636/0&thesaurus=JURIDICO&p=true&tp=T;descartar;página de pesquisa do STJ
notebooklm;NLM-44;Documento:900000297903 - :: eproc - Jurisprudência :: - CJF;https://eproctnu-jur.cjf.jus.br/eproc/externo_controlador.php?acao=jurisprudencia@jurisprudencia/download_inteiro_teor&id_jurisprudencia=771765565869822213503086959115;descartar;decisão individual da TNU
notebooklm;NLM-45;O que você procura? - Supremo Tribunal Federal;https://portal.stf.jus.br/jurisprudenciaRepercussao/verAndamentoProcesso.asp?incidente=5573573&numeroProcesso=1171152&classeProcesso=RE&numeroTema=1066;descartar;página de andamento do STF
notebooklm;NLM-46;Repercussão Geral - Supremo Tribunal Federal;https://portal.stf.jus.br/jurisprudenciaRepercussao/verPronunciamento.asp?pronunciamento=9715253;descartar;pronunciamento do STF sem contexto
notebooklm;NLM-47;RESOLUÇÃO CFM Nº 2.183/2018;https://sistemas.cfm.org.br/normas/arquivos/resolucoes/BR/2018/2183_2018.pdf;descartar;REVOGADA (Res. CFM 2.183/2018)
notebooklm;NLM-48;RESOLUÇÃO N. 487, DE 15 DE FEVEREIRO DE 2023. Institui a Política Antimanicomial do Poder Judiciário e estabelece procedimen - atos do CNJ;https://www.saude.sc.gov.br/index.php/pt/legislacao/legislacao-geral/portarias/resolucao-n-487-de-15-de-fevereiro-de-2023/download;descartar;"cópia em site estadual de SC (Res. CNJ 487/2023 — política antimanicomial; pode ser incluída pela URL do CNJ se desejado)"
notebooklm;NLM-49;Conselheira do CFM reforça a vedação contra a presença de assistentes técnicos não médicos em perícias médicas;https://portal.cfm.org.br/noticias/conselheira-do-cfm-reforca-a-vedacao-contra-a-presenca-de-assistentes-tecnicos-nao-medicos-em-pericias-medicas/;descartar;notícia
notebooklm;NLM-50;DIÁRIO OFICIAL DA UNIÃO - Sigepe Legis;https://legis.sigepe.gov.br/sigepe-bgp-ws-legis/legis-service/download/?id=0014717585-ALPDF/2023;descartar;Portaria MGI/MPS 27/2023 (servidores públicos) — fora do escopo
notebooklm;NLM-51;PROCESSUAL CIVIL. PREVIDENCIÁRIO. RECURSO ESPECIAL;https://scon.stj.jus.br/SCON/GetInteiroTeorDoAcordao?num_registro=202003388788&dt_publicacao=06/11/2025;descartar;acórdão isolado do STJ
notebooklm;NLM-52;aposentadoria – invalidez – doenças graves – rol da lei complementar nº 4/90, do estado de mato grosso, natureza exemplificativa admitida na;https://portal.stf.jus.br/jurisprudenciaRepercussao/verPronunciamento.asp?pronunciamento=3902645;descartar;repercussão geral sobre lei complementar estadual (MT)
notebooklm;NLM-53;2430_2016.pdf - CFM;https://sistemas.cfm.org.br/normas/visualizar/pareceres/SC/2016/2430;descartar;parecer regional CRM-SC de 2016
notebooklm;NLM-54;Simore.gov | Página de Início - Ministério dos Direitos Humanos e da Cidadania;https://simore.mdh.gov.br/Home/Resultado?ODS=18&page=12;descartar;página de busca
notebooklm;NLM-55;TOR 12_Protocolo de Istambul_PNUD 16 020 - Portal Gov.br;https://www.gov.br/mdh/pt-br/navegue-por-temas/cooperacao-internacional/editais/editais-2018-1/Edital12_ProtocolodeIstambul_PNUD16020.pdf;descartar;termo de referência de edital
notebooklm;NLM-56;Simore.gov | Página de Início - Ministério dos Direitos Humanos e da Cidadania;https://simore.mdh.gov.br/Home/Resultado?IdMeta=150&page=18;descartar;página de busca
notebooklm;NLM-57;Introduction to Malingering – Performance and Symptom Validity Testing Rachyll Dempsey, PsyD, ABPP, QME Level Introductory - FMHAC;https://www.fmhac.org/uploads/1/2/4/4/124447122/dempsey.pdf;descartar;slides de apresentação
notebooklm;NLM-58;The Relation Between Symptom Validity Testing and MMPI-2 Scores;https://www.aminer.cn/pub/53e9a9f0b7602d970335698c/the-relation-between-symptom-validity-testing-and-mmpi-scores-as-a-function-of-forensic-evaluation-context;descartar;agregador acadêmico (aminer)
